ZONA;RESPONSABLE ZONA;TECNICO AGRICOLA RESPONSABLE;FINCA; UBICACIÓN TÉCNICA;FECHA DEL PROXIMO CORTE;Zona Agroecologica;FECHA DE SIEMBRA;FECHA DE ULTIMO CORTE;EDAD HOY MESES;NUMERO DE CORTE;VARIEDAD;AREA NETA HA;FECHA PROXIMO CORTE PPTO;TONELADAS PPTO;TONELADAS Estimadas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-311;2026/02/10;15H1;2020/10/17;2025/02/10; 8,5 ;05;VARIAS;5,94;2025/02/19; 781 ; 813 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-312;2026/09/24;15H1;2019/08/23;2025/09/24; 1,1 ;07;CC 01-1228;6,09;2025/09/10; 758 ; 764 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-313;2026/01/20;15H1;2018/01/19;2024/12/21; 10,2 ;08;VARIAS;5,38;2025/12/24; 691 ; 702 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-314;2026/03/17;15H1;2022/12/15;2025/03/26; 7,1 ;04;CC 05-430;1,84;2025/11/29; 236 ; 237 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-320;2026/08/08;15H1;2018/07/10;2025/08/08; 2,7 ;08;CC 10-450;10,82;2025/07/28; 1.467 ; 1.632 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-330;2026/10/21;6H1;2005/01/17;2025/09/21; 1,2 ;23;CC 93-3826;5,03;2025/09/12; 647 ; 652 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-331;2026/09/21;6H1;2005/01/17;2025/09/21; 1,2 ;22;CC 93-3826;4,25;2025/09/24; 619 ; 624 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-340;2026/09/25;6H1;2018/08/30;2025/09/25; 1,1 ;08;CC 01-1940;4,61;2025/09/24; 606 ; 611 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-342;2026/02/09;6H1;2020/05/29;2025/02/24; 8,1 ;06;CC 11-595;5,02;2025/02/20; 645 ; 744 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-350;2026/01/07;15H1;2021/01/22;2024/12/08; 10,6 ;05;VARIAS;6,44;2025/12/23; 828 ; 840 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-351;2026/03/05;6H1;2023/03/21;2025/03/05; 7,8 ;03;CC 99-2282;9,73;2025/03/09; 1.251 ; 1.292 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-352;2026/10/19;15H1;2009/06/10;2025/10/10; 0,6 ;17;CC 01-1228;3,30;2025/10/21; 397 ; 414 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-360;2026/10/24;15H1;2014/05/05;2025/10/09; 0,6 ;12;CC 01-1940;6,37;2025/10/30; 831 ; 837 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-361;2026/10/31;7H1;2016/01/15;2025/10/10; 0,6 ;11;CC 97-7170;6,50;2025/09/29; 850 ; 856 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-362;2026/01/07;15H1;2022/02/04;2024/12/08; 10,6 ;04;CC 01-1940;6,72;2025/12/25; 850 ; 857 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Luis Millan; LA LUISA;3106-370;2026/01/08;10H3;2019/12/28;2024/12/09; 10,6 ;06;CC 11-595;11,97;2025/12/26; 1.514 ; 1.526 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-380;2025/10/29;10H3;2019/09/03;2024/10/14; 12,5 ;06;CC 99-2282;5,41;2025/10/30; 641 ; 652 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-390;2026/03/10;10H3;2020/02/18;2025/03/10; 7,6 ;06;CC 11-600;9,87;2025/03/09; 1.169 ; 1.271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-400;2026/01/24;1H1;2024/01/27;2024/12/25; 10,1 ;02;CC 05-430;21,76;2025/12/30; 2.929 ; 3.046 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-410;2025/10/24;1H1;2024/01/17;2024/12/24; 10,1 ;02;VARIAS;19,03;2025/10/29; 2.542 ; 2.664 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Leonardo Andres Lopez;Manuel Primero; LA LUISA;3107-412;2025/12/18;15H1;2023/12/31;2024/12/18; 10,3 ;02;CC 05-430;2,64;2025/12/30; 353 ; 370 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
